AreaIdFrom,DistrictIdFrom,AreaIdTo,DistrictIdTo,Tolerance
492,,486,236,0.6
196,,161,43,0.7
66,,486,150,0.1
839,,486,184,0.55
3,,410,86,0.35
196,,161,21,0.55
486,282,486,182,0.0
189,73,486,259,0.25
554,,385,,0.3
828,,486,223,0.15
913,347,486,277,0.35
161,58,161,24,0.05
36,,486,150,0.2
529,,813,,0.9
148,,792,320,0.0
455,125,486,199,0.25
820,,486,228,0.45
322,,410,93,0.05
792,322,486,171,0.6
140,,175,,0.4
486,268,486,146,0.45
696,,427,,0.8
486,195,486,259,0.1
277,,455,121,0.55
280,,161,38,0.2
320,,344,80,0.3
729,,792,320,0.05
161,63,410,97,0.8
651,319,218,,0.3
140,,371,,0.3
152,,879,,0.1
35,,486,220,0.55
410,85,594,,0.4
677,,157,,0.0
594,,488,,0.1
162,,427,,0.1
165,,874,,0.1
879,,157,,0.9
410,93,486,234,0.25
792,320,486,154,0.15
709,,161,59,0.65
69,3,486,281,0.35
619,,304,,0.05
344,75,115,68,0.05
35,,410,96,0.55
792,321,61,,0.6
410,97,410,85,0.1
63,,486,184,0.0
645,,486,220,0.95
161,40,486,204,0.1
184,,455,112,0.15
824,,621,,0.4
298,,486,270,0.3
792,321,792,322,0.15
439,,298,,0.25
427,,486,135,0.5
433,100,486,215,0.45
379,,486,161,0.3
486,192,486,290,0.75
161,37,161,46,0.1
813,,486,152,0.45
707,,486,267,0.55
115,70,371,,0.4
488,,486,273,0.05
90,,486,245,0.45
479,,455,129,0.0
455,104,455,131,0.1
730,,870,324,0.2
486,202,115,68,0.3
486,186,486,140,0.4
64,,439,,0.7
486,314,486,169,0.4
699,,433,100,0.8
764,,444,,0.6
246,,486,199,0.5
310,,879,,0.85
121,,115,68,0.45
496,,488,,0.0
162,,161,21,0.25
813,,709,,0.0
480,,870,327,0.3
35,,486,249,0.4
444,,594,,0.35
913,348,455,111,0.2
486,263,455,130,0.1
651,318,486,218,0.2
161,25,486,138,0.6
298,,161,23,0.55
274,,161,64,0.15
161,35,161,15,0.0
913,345,486,139,0.45
68,,482,,0.0
452,,486,259,0.45
484,,486,216,0.3
384,,824,,0.5
36,,298,,0.1
171,,486,310,0.05
471,,651,318,0.8
796,,161,37,0.0
640,,161,29,0.0
302,,433,100,0.1
486,177,486,191,0.45
410,99,455,113,0.7
505,,143,,0.75
736,,486,137,0.35
651,319,218,,0.15
486,239,486,261,0.25
640,,486,208,0.1
505,,455,114,0.25
69,1,115,66,0.05
38,,161,17,0.0
203,,410,92,0.55
689,,486,145,0.15
161,51,161,16,0.05
161,40,486,186,0.5
308,,344,78,0.35
3,,913,343,0.45
436,,486,160,0.0
486,315,486,193,0.0
245,,455,111,0.55
471,,486,277,0.55
926,,298,,0.25
486,192,486,143,0.6
486,194,486,256,0.05
186,,913,347,0.0
462,,455,107,0.45
410,93,813,,0.7
913,344,486,140,0.1
78,,161,15,0.05
462,,486,245,0.6
439,,455,108,0.4
679,,433,100,0.2
465,,486,281,0.1
78,,486,282,0.35
264,,594,,0.1
486,137,486,205,0.3
486,254,486,160,0.35
823,,486,310,0.1
782,,455,119,0.05
433,100,709,,0.8
486,285,161,63,0.2
35,,427,,0.2
486,279,161,61,0.05
163,,161,17,0.6
699,,486,189,0.35
694,,486,237,0.45
486,208,161,51,0.15
486,184,486,308,0.05
610,,327,,0.45
547,,115,67,0.35
486,241,486,299,0.1
161,5,161,40,0.3
279,,479,,0.7
164,,427,,0.15
175,,486,260,0.4
913,344,486,184,0.65
479,,486,158,0.4
591,,394,,0.25
70,,486,252,0.2
161,41,161,14,0.2
189,73,486,187,0.55
143,,736,,0.25
813,,486,179,0.0
792,322,486,176,0.75
792,320,486,259,0.55
301,,651,319,0.0
317,,870,323,0.05
751,,486,255,0.5
926,,455,125,0.35
471,,651,319,0.15
344,84,115,68,0.6
486,254,486,299,0.05
245,,486,155,0.9
175,,161,5,0.65
279,,651,318,0.6
709,,486,205,0.15
387,,218,,0.6
479,,486,291,0.15
410,88,486,274,0.05
173,,427,,0.0
471,,455,126,0.4
274,,486,227,0.3
913,345,161,17,0.05
189,72,410,96,0.4
189,72,161,50,0.4
3,,897,,0.05
455,105,486,241,0.1
69,3,455,122,0.0
746,,486,210,0.15
277,,161,5,0.15
486,190,486,246,0.0
622,,486,137,0.7
410,91,486,251,0.05
371,,913,348,0.0
479,,486,184,0.3
681,,69,3,0.15
828,,813,,0.25
486,152,486,309,0.6
310,,344,77,0.05
173,,455,128,0.9
870,332,913,348,0.85
486,278,455,119,0.3
486,134,792,322,0.2
172,,824,,0.8
189,72,486,268,0.05
455,110,486,317,0.15
483,,486,231,0.6
173,,486,237,0.35
301,,69,4,0.25
226,,161,42,0.4
486,208,455,106,0.45
699,,486,137,0.1
828,,486,148,0.1
486,301,486,286,0.15
750,,813,,0.3
161,64,161,47,0.0
651,318,486,262,0.15
160,,161,42,0.35
486,316,486,306,0.0
184,,651,319,0.6
505,,455,121,0.3
166,,69,4,0.85
406,,455,128,0.05
115,69,245,,0.2
479,,35,,0.05
621,,69,1,0.25
69,2,486,155,0.3
888,,36,,0.1
3,,161,15,0.55
870,333,486,170,0.3
298,,736,,0.15
640,,633,,0.2
455,127,486,304,0.1
371,,344,77,0.65
6,,161,53,0.25
925,,640,,0.15
926,,184,,0.55
879,,813,,0.2
773,,486,256,0.05
189,73,913,347,0.25
279,,161,61,0.0
486,214,486,148,0.65
161,60,161,33,0.15
410,88,427,,0.65
272,,433,100,0.05
410,95,913,346,0.55
287,,486,185,0.35
633,,486,161,0.85
651,318,65,,0.8
813,,486,308,0.4
298,,161,54,0.65
651,318,486,276,0.1
161,54,486,217,0.55
792,321,486,217,0.05
889,,813,,0.1
824,,486,281,0.45
486,290,792,322,0.95
161,33,486,255,0.25
640,,69,3,0.55
410,86,486,268,0.2
603,,716,,0.65
83,,298,,0.85
486,266,486,192,0.35
651,319,651,318,0.15
531,,457,,0.4
160,,486,307,0.6
455,108,161,26,0.5
651,318,486,233,0.1
913,341,161,55,0.1
433,101,824,,0.1
486,234,792,320,0.5
410,94,486,295,0.75
710,,465,,0.45
161,35,486,285,0.65
812,,486,250,0.3
399,,84,,0.75
514,,83,,0.2
486,275,486,171,0.1
486,243,486,175,0.7
488,,36,,0.9
427,,486,226,0.85
486,145,486,161,0.35
279,,486,136,0.45
750,,189,73,0.05
332,,455,122,0.2
853,,486,150,0.45
344,81,486,204,0.7
324,,855,,0.45
115,66,455,123,0.6
465,,486,137,0.25
651,319,455,106,0.1
488,,486,157,0.4
175,,69,4,0.1
486,238,455,113,0.05
144,,486,262,0.25
486,149,486,315,0.55
349,,115,70,0.15
410,92,433,100,0.0
651,319,455,114,0.75
759,,277,,0.4
179,,486,233,0.35
468,,486,143,0.65
403,,486,296,0.4
455,107,161,57,0.5
813,,161,14,0.7
486,196,486,315,0.15
913,346,486,175,0.2
161,43,488,,0.3
872,,841,,0.05
35,,486,236,0.15
69,2,828,,0.3
61,,486,219,0.4
455,127,486,236,0.55
455,112,455,124,0.5
679,,651,319,0.4
792,320,486,191,0.15
433,102,813,,0.1
709,,486,213,0.05
486,205,486,173,0.3
161,44,486,261,0.4
277,,161,42,0.4
811,,486,173,0.5
465,,161,55,0.7
455,125,486,219,0.25
115,70,43,,0.15
486,232,161,56,0.1
674,,486,256,0.3
458,,651,318,0.35
681,,455,115,0.4
427,,486,304,0.05
486,181,486,178,0.2
344,74,486,144,0.0
254,,616,,0.85
455,107,486,164,0.3
533,,338,,0.7
486,223,486,202,0.7
35,,455,103,0.35
161,54,161,15,0.6
188,,161,21,0.5
98,,813,,0.15
455,126,486,192,0.45
655,,486,295,0.4
161,58,486,288,0.05
792,322,486,307,0.2
280,,486,317,0.15
586,,581,,0.5
433,100,184,,0.75
689,,36,,0.6
115,69,65,,0.2
824,,455,109,0.3
333,,531,,0.0
677,,486,306,0.1
486,147,486,165,0.15
679,,486,304,0.0
479,,486,227,0.55
621,,651,319,0.0
35,,651,318,0.3
820,,161,40,0.65
65,,455,111,0.45
486,308,486,252,0.6
439,,161,50,0.05
813,,792,321,0.25
69,4,486,211,0.1
849,,279,,0.5
801,,486,303,0.4
486,137,486,297,0.65
486,200,486,207,0.05
645,,385,,0.0
458,,427,,0.3
98,,277,,0.75
598,,935,,0.25
273,,161,7,0.55
410,91,493,,0.65
161,25,161,13,0.15
455,108,486,233,0.6
204,,486,282,0.25
618,,161,57,0.0
792,321,486,160,0.85
344,82,344,81,0.55
410,91,486,144,0.85
813,,870,329,0.5
800,,161,18,0.2
455,104,486,228,0.3
455,107,486,151,0.05
870,325,514,,0.3
824,,486,235,0.1
161,18,161,15,0.0
161,16,486,188,0.4
709,,455,112,0.2
488,,486,203,0.15
926,,65,,0.25
486,309,488,,0.55
486,215,455,105,0.0
564,,316,,0.45
184,,161,37,0.0
488,,486,215,0.0
471,,486,148,0.45
600,,486,295,0.65
486,161,486,303,0.2
488,,455,125,0.5
140,,69,3,0.15
488,,161,44,0.05
464,,161,16,0.2
514,,486,290,0.0
151,,455,128,0.1
874,,274,,0.05
175,,410,87,0.5
813,,410,95,0.4
161,11,486,249,0.65
669,,277,,0.2
298,,161,49,0.4
298,,486,276,0.25
162,,824,,0.5
35,,161,9,0.35
486,249,161,18,0.0
913,341,486,290,0.8
486,206,371,,0.05
486,316,161,32,0.5
61,,486,243,0.4
161,14,36,,0.0
61,,486,314,0.8
821,,486,165,0.2
131,,144,,0.0
364,,245,,0.7
681,,486,145,0.85
346,,870,329,0.2
279,,410,90,0.1
455,104,273,,0.1
219,,455,129,0.35
455,120,277,,0.5
486,202,455,123,0.3
754,,486,140,0.2
173,,161,20,0.5
828,,486,169,0.55
828,,455,119,0.4
433,102,486,241,0.7
410,96,161,30,0.3
410,90,486,208,0.25
458,,245,,0.55
296,,410,89,0.3
792,322,486,146,0.0
455,113,486,144,0.6
471,,913,344,0.05
117,,115,68,0.0
161,11,35,,0.55
299,,913,346,0.55
175,,486,186,0.4
792,321,486,280,0.35
69,3,69,4,0.75
189,72,161,15,0.15
455,115,486,257,0.7
813,,709,,0.1
651,318,277,,0.0
629,,427,,0.25
455,127,486,295,0.85
6,,620,,0.8
488,,824,,0.4
479,,161,5,0.1
410,93,486,262,0.7
486,212,792,320,0.15
488,,486,228,0.0
65,,486,250,0.15
270,,486,297,0.2
184,,161,8,0.05
196,,410,90,0.45
651,319,455,118,0.25
870,324,455,110,0.5
61,,486,142,0.2
479,,161,14,0.1
344,77,486,316,0.85
709,,410,90,0.1
218,,455,109,0.5
486,133,486,239,0.45
61,,161,51,0.5
455,104,486,287,0.1
161,62,486,281,0.4
115,68,471,,0.35
433,102,455,130,0.15
828,,161,56,0.4
188,,161,15,0.2
750,,455,116,0.1
184,,173,,0.4
136,,486,240,0.8
455,129,455,112,0.7
913,347,813,,0.4
397,,486,157,0.0
184,,913,344,0.55
486,219,486,287,0.1
792,321,486,268,0.0
